event_date,event_time,track,country,event_id,selection_id,selection_name,event_name,race_number,win_bsp,place_bsp,win_result,place_result,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,ppwap_place,morningwap_place,ppmax_place,ppmin_place,ipmax_place,ipmin_place,source
2026-01-01,00:00,Cheltenham,uk,35100712,38378512,Glengouly,Betfair Exchange Handicap Chase (Premier Handicap) (GBB Race) (Class A),4,6.24,2.39,0.0,0.0,,,,,,,,,,,,,hub
2026-01-01,00:00,Cheltenham,uk,35100712,36585564,Grandeur DAme,Betfair Exchange Handicap Chase (Premier Handicap) (GBB Race) (Class A),4,18.03,5.25,0.0,1.0,,,,,,,,,,,,,hub
2026-01-01,00:00,Cheltenham,uk,35100712,35981704,Il Ridoto,Betfair Exchange Handicap Chase (Premier Handicap) (GBB Race) (Class A),4,7.84,2.47,0.0,1.0,,,,,,,,,,,,,hub
2026-01-01,00:00,Cheltenham,uk,35100712,36764591,Jungle Boogie,Betfair Exchange Handicap Chase (Premier Handicap) (GBB Race) (Class A),4,33.48,7.4,0.0,0.0,,,,,,,,,,,,,hub
2026-01-01,00:00,Cheltenham,uk,35100712,50447657,Just Over Land,Betfair Exchange Handicap Chase (Premier Handicap) (GBB Race) (Class A),4,8.36,2.81,0.0,0.0,,,,,,,,,,,,,hub
2026-01-01,00:00,Cheltenham,uk,35100712,49310608,Matata,Betfair Exchange Handicap Chase (Premier Handicap) (GBB Race) (Class A),4,7.94,2.88,1.0,1.0,,,,,,,,,,,,,hub
2026-01-01,00:00,Cheltenham,uk,35100712,51257670,Moon Dorange,Betfair Exchange Handicap Chase (Premier Handicap) (GBB Race) (Class A),4,8.8,2.68,0.0,0.0,,,,,,,,,,,,,hub
2026-01-01,00:00,Cheltenham,uk,35100712,41554392,Riskintheground,Betfair Exchange Handicap Chase (Premier Handicap) (GBB Race) (Class A),4,8.35,2.47,0.0,0.0,,,,,,,,,,,,,hub
2026-01-01,00:00,Cheltenham,uk,35100712,43896399,Twinjets,Betfair Exchange Handicap Chase (Premier Handicap) (GBB Race) (Class A),4,5.98,2.6,0.0,0.0,,,,,,,,,,,,,hub
2026-01-01,00:05,Catterick,uk,35100713,23279671,Coupdebol,racingtv.com Handicap Chase (Class G),4,26.57,6.6,0.0,0.0,,,,,,,,,,,,,hub
2026-01-01,00:05,Catterick,uk,35100713,269651,Starman,racingtv.com Handicap Chase (Class G),4,32.0,5.86,0.0,1.0,,,,,,,,,,,,,hub
2026-01-01,00:05,Catterick,uk,35100713,74504590,Supreme George,racingtv.com Handicap Chase (Class G),4,1.38,1.18,1.0,1.0,,,,,,,,,,,,,hub
2026-01-01,00:05,Catterick,uk,35100713,62403468,Treaty Boy,racingtv.com Handicap Chase (Class G),4,7.6,2.03,0.0,0.0,,,,,,,,,,,,,hub
2026-01-01,00:05,Catterick,uk,35100713,27156457,Zaras Universe,racingtv.com Handicap Chase (Class G),4,13.41,2.76,0.0,0.0,,,,,,,,,,,,,hub
2026-01-01,00:09,Windsor,uk,35100715,55345394,Joe Cotton,Fitzdares Handicap Chase (GBB Race) (Class C),5,4.66,2.3,0.0,1.0,,,,,,,,,,,,,hub
2026-01-01,00:09,Windsor,uk,35100715,64422021,Kalif DAiry,Fitzdares Handicap Chase (GBB Race) (Class C),5,3.5,2.09,0.0,0.0,,,,,,,,,,,,,hub
2026-01-01,00:09,Windsor,uk,35100715,67636944,Mister Cessna,Fitzdares Handicap Chase (GBB Race) (Class C),5,7.94,3.82,0.0,0.0,,,,,,,,,,,,,hub
2026-01-01,00:09,Windsor,uk,35100715,38357068,Shantou Lucky,Fitzdares Handicap Chase (GBB Race) (Class C),5,13.0,5.3,0.0,0.0,,,,,,,,,,,,,hub
2026-01-01,00:09,Windsor,uk,35100715,28434123,Tax For Max,Fitzdares Handicap Chase (GBB Race) (Class C),5,23.94,8.8,0.0,0.0,,,,,,,,,,,,,hub
2026-01-01,00:09,Windsor,uk,35100715,8966922,Toothless,Fitzdares Handicap Chase (GBB Race) (Class C),5,9.32,4.38,1.0,1.0,,,,,,,,,,,,,hub
2026-01-01,00:09,Windsor,uk,35100715,48188391,Yes Day,Fitzdares Handicap Chase (GBB Race) (Class C),5,6.54,3.35,0.0,0.0,,,,,,,,,,,,,hub
2026-01-01,00:10,Fairyhouse,ire,35100742,68289287,A Year Older,Take A Pull Podcast Handicap Hurdle (Class E) (0-110),4,68.8,11.0,1.0,1.0,,,,,,,,,,,,,hub
2026-01-01,00:10,Fairyhouse,ire,35100742,42184228,Ballyglass Beauty,Take A Pull Podcast Handicap Hurdle (Class E) (0-110),4,28.07,4.6,0.0,0.0,,,,,,,,,,,,,hub
2026-01-01,00:10,Fairyhouse,ire,35100742,88944544,Glenmalure Lady,Take A Pull Podcast Handicap Hurdle (Class E) (0-110),4,60.0,9.15,0.0,0.0,,,,,,,,,,,,,hub
2026-01-01,00:10,Fairyhouse,ire,35100742,79242303,Great Bird,Take A Pull Podcast Handicap Hurdle (Class E) (0-110),4,8.4,2.32,0.0,0.0,,,,,,,,,,,,,hub
2026-01-01,00:10,Fairyhouse,ire,35100742,38907194,He Fitz In,Take A Pull Podcast Handicap Hurdle (Class E) (0-110),4,42.74,7.4,0.0,0.0,,,,,,,,,,,,,hub
2026-01-01,00:10,Fairyhouse,ire,35100742,76977398,Hitthehayson,Take A Pull Podcast Handicap Hurdle (Class E) (0-110),4,3.87,1.73,0.0,0.0,,,,,,,,,,,,,hub
