race_date,time,track,placing,horse_name,last,last2,last3,last4,last5,last6,last7,last8,last9,last10,leveller,speed,jockey,trainer,stallion,today,total,odds_numerical,racetype,jockey_name,trainer_name,runners,placing_num,HorseAge,Distance,AgeRestrictions,WinPrizeMoney,UKClass,MajorType,
"2026-02-14","12.35.","Wincanton","2nd","At The Oche (IRE)","75.5625","53.3244","69.1632","83.1451","71.5549","0.0000","0.0000","0.0000","0.0000","0.0000","352.7501","68.4800","0.0000","0.0000","0.0000","2.8570","776.8373","1.38","Handicap Hurdle","Broughton, Tom","Twiston-Davies, N A","7","2","5","2m6f ","4yo+","3697","5",,
"2026-02-14","12.35.","Wincanton","1st","Eton Mes (IRE)","76.8000","65.6767","54.6775","55.1676","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","378.4827","48.1492","0.0000","0.0000","0.0000","1.4290","680.3828","2.50","Handicap Hurdle","Corcoran, Rian","Pipe, D E","7","1","5","2m6f ","4yo+","3697","5",,
"2026-02-14","12.35.","Wincanton","4th","Thankyouandplease (FR)","41.0734","58.1063","75.0200","52.3960","49.6356","41.9109","58.3104","39.5046","40.3758","38.1528","0.0000","57.9400","0.0000","0.0000","0.0000","1.5090","553.9349","18.00","Handicap Hurdle","Hanlon, Paddy","Hosie, Syd","7","4","6","2m6f ","4yo+","3697","5",,
"2026-02-14","12.35.","Wincanton","3rd","Charlies Jetaway (IRE)","45.5675","57.1603","39.4374","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","331.7189","50.7300","0.0000","0.0000","0.0000","2.6000","527.2142","10.00","Handicap Hurdle","Palmer, Oscar","Hosie, Syd","7","3","5","2m6f ","4yo+","3697","5",,
"2026-02-14","12.35.","Wincanton","7th","Star Of Diamonds (IRE)","58.7567","40.8898","46.6688","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","341.4021","30.4825","0.0000","0.0000","0.0000","0.0000","518.1998","5.00","Handicap Hurdle","Johnstone-baker, Cameron","Lavelle, Miss E C","7","7","7","2m6f ","4yo+","3697","5",,
"2026-02-14","12.35.","Wincanton","6th","Looking For Larry (IRE)","42.9522","36.2986","55.6500","41.2538","33.8076","60.8500","48.1138","41.2557","30.4826","0.0000","43.4071","62.8530","0.0000","0.0000","0.0000","2.3000","499.2244","10.00","Handicap Hurdle","Dodd, Murray","Dennis, T W","7","6","8","2m6f ","4yo+","3697","5",,
"2026-02-14","12.35.","Wincanton","5th","Moonlight Artist","27.7774","28.1512","40.3833","38.9226","38.9100","61.1250","30.8520","37.9332","39.6898","34.9637","0.0000","62.3759","0.0000","0.0000","0.0000","3.3090","444.3930","14.00","Handicap Hurdle","OShea, Ciaran","Tizzard, Joe","7","5","8","2m6f ","4yo+","3697","5",,
"2026-02-14","12.45.","Gowran Park","1st","Madness Delle (FR)","59.0508","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","531.4572","62.8000","0.0000","0.0000","0.0000","0.0000","653.3080","0.40","Maiden Hurdle","Townend, P","Mullins, W P","10","1","4","2m ","4yo","6372","0",,
"2026-02-14","12.45.","Gowran Park","5th","Whats New (IRE)","48.6580","51.1810","38.5827","60.3432","40.2294","0.0000","0.0000","0.0000","0.0000","0.0000","238.9942","62.2256","0.0000","0.0000","0.0000","0.5560","540.7699","18.00","Maiden Hurdle","Quirke, Cian","Slattery, Andrew","10","5","4","2m ","4yo","6372","0",,
"2026-02-14","12.45.","Gowran Park","2nd","Manoir De Mirande (FR)","43.2084","40.3991","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","334.4302","59.7764","0.0000","0.0000","0.0000","0.0000","477.8142","4.00","Maiden Hurdle","Kennedy, J W","Elliott, Gordon","10","2","4","2m ","4yo","6372","0",,
"2026-02-14","12.45.","Gowran Park","9th","Wolfpack","38.9601","43.3382","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","329.1931","31.0207","0.0000","0.0000","0.0000","1.4290","443.9411","100.00","Maiden Hurdle","Sexton, K C","Elliott, Gordon","10","9","4","2m ","4yo","6372","0",,
"2026-02-14","12.45.","Gowran Park","7th","Ocean Murphy","42.2694","39.8028","32.2967","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","266.8607","24.0015","0.0000","0.0000","0.0000","0.0000","405.2310","125.00","Maiden Hurdle","Roche, T P","Rothwell, P J","10","7","4","2m ","4yo","6372","0",,
"2026-02-14","12.45.","Gowran Park","10th","Nile Star (FR)","31.7808","32.9662","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","258.9880","29.2394","0.0000","0.0000","0.0000","0.0000","352.9744","300.00","Maiden Hurdle","McKenna, Liam","OSullivan, Ross","10","10","4","2m ","4yo","6372","0",,
"2026-02-14","12.45.","Gowran Park","3rd","Arouet (FR)","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","3.3330","3.3330","3.50","Maiden Hurdle","King, D","Twomey, P","10","3","4","2m ","4yo","6372","0",,
"2026-02-14","12.45.","Gowran Park","6th","Rebel Queen (IRE)","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7000","0.7000","150.00","Maiden Hurdle","Kenneally, Michael","Motherway, C","10","6","4","2m ","4yo","6372","0",,
"2026-02-14","12.45.","Gowran Park","8th","Youknowthecode (IRE)","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","33.00","Maiden Hurdle","Gainford, Jordan","Elliott, Gordon","10","8","4","2m ","4yo","6372","0",,
"2026-02-14","12.45.","Gowran Park","4th","Tea Biscuit (IRE)","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","40.00","Maiden Hurdle","OConnor, M P","Houlihan, Conor","10","4","4","2m ","4yo","6372","0",,
"2026-02-14","12.50.","Lingfield","8th","Bownder (IRE)","56.0110","52.2491","60.2218","64.2520","43.0444","46.5940","53.5206","45.0809","55.9311","48.4255","0.0000","59.6560","0.0000","0.0000","0.0000","2.1810","587.1675","4.00","Handicap","Graham, Mr McKenzie","Portman, J G","9","8","4","1m4f ","4yo+","4172","5",,
"2026-02-14","12.50.","Lingfield","1st","Sea Of Charm (FR)","33.5859","62.4160","61.5520","38.6853","45.2985","40.2735","37.4037","46.3450","58.8320","50.8332","0.0000","63.1404","0.0000","0.0000","0.0000","1.4170","539.7825","25.00","Handicap","Brown, Harry","Nicholls, Georgina","9","1","8","1m4f ","4yo+","4172","5",,
"2026-02-14","12.50.","Lingfield","4th","Shahbaz (IRE)","58.7900","36.0124","35.8248","37.1311","38.1840","45.4619","59.8353","49.7189","72.1380","38.2356","0.0000","67.0204","0.0000","0.0000","0.0000","0.7320","539.0843","5.00","Handicap","Hampson, Brodie","Watson, Archie","9","4","6","1m4f ","4yo+","4172","5",,
"2026-02-14","12.50.","Lingfield","9th","Man Is King (IRE)","63.0630","42.7500","30.2185","55.6404","38.2004","31.9765","38.0151","43.4783","44.1794","56.9020","0.0000","56.8225","0.0000","0.0000","0.0000","2.4380","503.6842","12.00","Handicap","Chance, Miss Louise","Flood, D","9","9","7","1m4f ","4yo+","4172","5",,
"2026-02-14","12.50.","Lingfield","7th","Kathleen Mary","43.7176","43.8718","35.2833","49.4559","50.2547","43.7242","32.4000","0.0000","0.0000","0.0000","128.0175","64.4760","0.0000","0.0000","0.0000","0.6000","491.8010","2.00","Handicap","Walker, Mr S","Chapple-Hyam, P W","9","7","4","1m4f ","4yo+","4172","5",,
"2026-02-14","12.50.","Lingfield","6th","Johnny Boom (IRE)","46.1632","62.1000","27.4044","36.8916","32.4876","49.9542","34.9984","58.2750","35.5895","39.0125","0.0000","66.1900","0.0000","0.0000","0.0000","1.6050","490.6714","25.00","Handicap","Milburn, Miss Amy","Lycett, Shaun","9","6","8","1m4f ","4yo+","4172","5",,
"2026-02-14","12.50.","Lingfield","5th","Roland Garros","40.6490","52.5462","65.5689","42.6003","35.9503","42.6572","37.3006","36.7701","0.0000","0.0000","88.5107","41.5550","0.0000","0.0000","0.0000","-0.2000","483.9084","11.00","Handicap","Yarham, Fletcher","Burton, Hayley","9","5","5","1m4f ","4yo+","4172","5",,
"2026-02-14","12.50.","Lingfield","2nd","Imperial Decision","48.6834","44.6280","32.3478","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","293.2046","63.1641","0.0000","0.0000","0.0000","0.7000","482.7278","25.00","Handicap","Burke, Louis","Burke, Kieran","9","2","4","1m4f ","4yo+","4172","5",,
"2026-02-14","12.50.","Lingfield","3rd","Voix De Bocelli","49.8700","47.9468","46.2538","29.2410","32.5593","33.7910","47.4462","36.4698","60.5800","32.6472","0.0000","60.0887","0.0000","0.0000","0.0000","1.3670","478.2608","4.00","Handicap","Cagney, Eireann","Knight, Miss H C","9","3","6","1m4f ","4yo+","4172","5",,
"2026-02-14","12.55.","Haydock","1st","Manlaga (IRE)","90.1865","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","811.6785","86.0000","0.0000","0.0000","0.0000","0.7000","988.5650","1.75","Hurdle","Hughes, Brian","Henderson, N J","7","1","4","2m ","4yo","10892","2",,
"2026-02-14","12.55.","Haydock","4th","Love Sonnet (IRE)","98.2723","75.3576","57.2111","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","538.6289","71.7170","0.0000","0.0000","0.0000","5.7000","846.8869","18.00","Hurdle","Davies, James","Vaughan, Tim","7","4","4","2m ","4yo","10892","2",,
"2026-02-14","12.55.","Haydock","5th","Macktoad (FR)","58.3353","91.7809","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","600.4650","68.1850","0.0000","0.0000","0.0000","5.0000","823.7662","5.00","Hurdle","Bowen, Sean P","Moore, Gary and Josh","7","5","4","2m ","4yo","10892","2",,
"2026-02-14","12.55.","Haydock","2nd","Pourquoi Pas Papa (FR)","85.1010","64.5128","74.8288","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","523.6993","69.1990","0.0000","0.0000","0.0000","3.6330","820.9739","1.63","Hurdle","Gingell, Frederick","Nicholls, P F","7","2","4","2m ","4yo","10892","2",,
"2026-02-14","12.55.","Haydock","6th","Whatsgoingonmarvin (IRE)","63.8846","42.7976","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","426.7287","63.2675","0.0000","0.0000","0.0000","3.1080","599.7864","20.00","Hurdle","Bowen, James C","Bowen, Mickey","7","6","4","2m ","4yo","10892","2",,
"2026-02-14","12.55.","Haydock","F","Try Them (IRE)","44.2469","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","398.2225","57.9600","0.0000","0.0000","0.0000","0.8000","501.2294","50.00","Hurdle","Meyler, D","Mullins, Emmet","7","0","4","2m ","4yo","10892","2",,
