feature,importance
NFP_residual,1437121.6515811086
FSALB,1343807.0565729737
rPMW3,1000560.3592092991
LR_ORR2,873695.4490510821
rPMW5,692321.5395268798
or_num,573591.7581067085
LR3_RWO,382378.098382771
rPMW10,303264.92730760574
win_surprise,246957.28779923916
OFS1,221434.33116042614
race_type_cat,183944.73539596796
rTrainerSR14d,147795.15454304218
PMW10,137842.50751930475
rTJNFP,131744.5801576376
LRNFP,120492.02332496643
LR3_ORR2,96036.41078948975
or_vs_max,93943.86572575569
draw_relative,84607.63831347227
median_or_num,81308.65543150902
dist_furlongs,71541.19308489561
rJockeySR14d,71236.33912968636
PMW3,66218.6092440486
days_since_lr_num,64810.95388293266
LR5_RWO,62918.537374436855
LR_LB,56109.298167705536
rRWOLR3,46586.094474077225
stall_num,43662.035432100296
trainerWAXrank,41933.929048120975
LR10_RWO,41095.28327590227
trainerjockeycareerNFP,40254.09594422579
OFS3,39879.540419220924
jockeyCWOrank,37941.66386055946
rRWOLR10,33774.05595648289
trainerCWOrank,30367.470148324966
prom_runner,28024.47049665451
EXP_NFP3,27336.958029687405
RACE_WOA,26511.16973900795
RACE_RB,25999.287953078747
number_of_runners,25813.017176568508
going_draw_shift,25282.295797348022
LR_RACE_RB,24132.77122616768
rORR2LR,21797.124698102474
trainer_sr_14d,21725.886971116066
LR5_ORR2,21449.311550736427
PMW5,21153.080141425133
career_runs_num,20966.602243065834
rLB,20761.548347473145
max_or_race,20654.3117685318
RACE_WIV,20397.387366831303
jockey_sr_14d,18722.237643301487
rEXP_RB5,17859.277290284634
pounds_num,17745.07742279768
weight_vs_avg,17689.820370197296
EXP_NFP10,17663.730802357197
jockeyWAXrank,16716.384977161884
preferred_distance,16644.92924529314
going_numeric,15709.767011106014
RACE_WPMRF,15081.942357361317
LR10_ORR2,14979.56716120243
rRWOLR5,14489.395761013031
tdg_draw_bias,13724.961394011974
preracetrainercareerPlaces,13529.11446505785
trainer_career_late_move,13179.103162705898
track_draw_bias,12593.234218001366
preracetrainercareerWAX,12541.970007777214
rHorseTrackNFP,12533.049714803696
track_front_win_share,12272.588516235352
or_change,11347.400509774685
preracehorsecareerLB,11177.256836295128
RPS,11118.664527475834
