feature,importance
dist_furlongs,2681548.9022369385
FSALB,2400130.888431549
RACE_WPMRF,738026.7064781189
track_cat,703586.6595535278
track_front_win_share,585003.5116653442
number_of_runners,512583.7509422302
race_type_cat,512394.30421066284
track_draw_bias,440304.6172904968
max_or_race,416955.7576942444
PMW10,369678.7908706665
td_avg_winner_pos,291767.4589538574
td_front_win_share,273653.1216468811
td_holdup_win_share,261075.55192565918
RACE_RB,242862.04795074463
horse_age_num,240214.66271972656
surface_type_cat,233847.38040161133
RPS,227305.65334701538
RACE_WOA,201886.62731933594
median_or_num,199158.42277526855
pred_race_pace,192808.1763572693
NFP_residual,189926.58764648438
racepaceindex,179772.2686958313
RACE_Wins,178923.75999069214
pred_pace_spread,165357.1954460144
going_numeric,157654.68892669678
race_class_num,150824.12767410278
pred_max_front,142303.88022613525
pace_pressure,140148.76991271973
draw_relative,138367.32201385498
RACE_WIV,136994.46660232544
going_draw_shift,132377.04359817505
draw_field_weight,120239.6873626709
weight_range,109771.30995178223
pred_n_front,107125.12275695801
pred_front_pct,101434.24328231812
or_num,101069.2053642273
td_low_stall_nfp,91766.75518417358
td_high_stall_nfp,87372.51413726807
preracehorsecareerRSR,78406.33346557617
pounds_num,76943.19577789307
pred_back_pct,76602.62852096558
win_surprise,75167.64378356934
tdg_draw_bias,74705.85751724243
td_draw_bias,73358.13019561768
rRSR,67953.14025878906
LR3_RSR,66881.9384841919
going_change_lr,65196.06641769409
RACE_NFP,57726.878677368164
preferred_distance,56203.584087371826
LR_RSR,54286.71162414551
stall_num,51651.141189575195
LR5_RSR,51462.322120666504
career_best_or,37406.78098297119
racepacescore,37260.54650878906
preferred_going,35377.824657440186
pred_n_back,26871.044982910156
PMW5,26801.6827583313
rHorseDrawPref,25830.72559738159
or_vs_max,23497.689613342285
days_since_lr_num,22698.97235107422
jockey_track_runs,21623.70206451416
draw_bias_alignment,19880.89970779419
PMW3,18613.505653381348
CIL3,18203.677085876465
draw_advantage_field_adj,16776.173820495605
totaljockeyLRPscore,16761.678886413574
totaljockeyrides,16600.84725189209
LR_ORR2,15504.423637390137
CIL5,15391.037441253662
dist_change_signed,12913.166408538818
going_draw_alignment,12032.83307647705
preracejockeycareerPlaces,11766.141952514648
career_runs_num,11324.969787597656
preracetrainercareerCWO,11156.580535888672
FCS,10261.585544586182
trainer_track_win_rate,10154.297256469727
class_vs_avg,10133.731311798096
draw_prominent_effect,9402.783443450928
LR_RACE_Wins,9270.923667907715
avg_class_3,8812.576377868652
rDSLR,8103.763835906982
trainer_form_delta,8095.393333435059
preracejockeycareerWins,7790.716796875
LR_draw_relative,7495.091331481934
dist_change_lr,7343.77347946167
LR3_RWO,7020.725574493408
preracetrainercareerWAX,6948.055068969727
rHorseTrackNFP,6778.121307373047
weight_change_lr,6768.505489349365
trainer_keen_rate,6753.064785003662
preracetrainercareerRuns,6546.241973876953
best_RSR,6536.419597625732
or_vs_best,6357.268577575684
OFS3,6323.1965408325195
LR_LB,6230.5935134887695
or_change_3,6211.481986999512
preracejockeycareerCWO,6053.17000579834
jockey_runs_14d,5623.663246154785
or_vs_median,5299.268787384033
jockey_career_late_move,5224.2564125061035
preracejockeycareerRuns,5057.170196533203
CIL10,5042.515056610107
class_change,4748.599102020264
sire_going_nfp,4607.361595153809
rDrawBiasAlign,4478.020309448242
totalLRPjockeyindex,4275.9592208862305
damsire_runners,3922.5090370178223
trainerjockeycareerNFP,3838.585563659668
DSLR1,3768.246925354004
trainerjockeyCWO,3728.2143478393555
rDrawFieldAdj,3713.6849975585938
horse_low_stall_nfp,3688.1240997314453
LR3_ORR2,3572.179801940918
horse_draw_pref,3456.592170715332
WPMRF3,3445.868209838867
WPMRF10,3445.439125061035
draw_quartile,3434.613494873047
preracetrainercareerWins,3404.830310821533
trainer_runs_14d,3178.877227783203
rGoingDrawAlign,3142.1571502685547
trainer_front_rate,3078.4047927856445
trainer_Career_EPF,3032.042194366455
LR3_LB,3003.9552001953125
trainer_track_runs,2970.059898376465
sire_runners,2953.913589477539
LR_RACE_RB,2950.288414001465
going_from_preferred,2935.941909790039
PFD10,2857.5764083862305
LR_RACE_WIV,2825.708698272705
horse_high_stall_nfp,2817.759963989258
preracehorsecareerLB,2718.4059295654297
rConsistency,2609.756706237793
draw_front_enable,2586.0890350341797
preracetrainercareerPlaces,2530.4187927246094
PFD3,2524.801166534424
trainerpaceindex,2504.2930068969727
rLB,2482.7699813842773
damsire_dist_nfp,2482.7330017089844
trainer_career_late_move,2445.666305541992
WPMRF5,2392.886013031006
LR5_RWO,2340.3885955810547
jockey_keen_rate,2290.0913009643555
weight_vs_avg,2264.5047912597656
WgtDSLR,2174.2309188842773
dist_from_preferred,2158.592716217041
jockey_track_win_rate,2147.071502685547
DSLR4,2129.689926147461
pace_mismatch,2128.088104248047
LR4_EPF2,2103.0289916992188
pred_pace_scenario,2077.530097961426
LR10NFPtotal,2035.5340118408203
sire_dist_nfp,1974.29789352417
FSS,1964.0358123779297
LR_RACE_WOA,1954.258502960205
going_avg_nfp,1927.670986175537
jockey_sr_14d,1905.1279220581055
draw_advantage_composite,1885.7055969238281
preracetrainercareerWIV,1866.46630859375
rGoingPref,1835.0138244628906
sire_going_win_rate,1806.579189300537
draw_front_advantage,1711.0027923583984
jockey_form_delta,1687.5359153747559
jockey_holdup_rate,1680.5140914916992
trainer_holdup_rate,1678.7509078979492
trainer_career_early_pos,1667.400691986084
Jockey_Career_EPF,1658.1234970092773
trainerjockeyWAX,1646.0362854003906
surface_nfp,1616.6439094543457
rJockeySR14d,1599.3294067382812
trainer_sr_14d,1548.8763046264648
preracejockeycareerWAX,1530.406021118164
sire_avg_nfp,1398.8826026916504
damsire_avg_nfp,1392.9670143127441
rStyleConsistency,1365.326889038086
draw_change,1362.4586944580078
debut_x_sire_nfp,1360.3504066467285
sire_place_rate,1348.4739990234375
RSR_gap,1345.8315048217773
LR10_RWO,1343.6079864501953
course_avg_nfp,1343.3871002197266
EXP_RB10,1324.7236938476562
rSurfaceNFP,1304.2045974731445
jockey_career_early_pos,1295.1635818481445
damsire_going_nfp,1293.0875091552734
LR2_EPF3,1282.5447998046875
LR5_EPF3,1282.511302947998
DSLR2,1270.1675872802734
horse_sex_cat,1262.7503051757812
rPMW5,1253.8397521972656
SFI,1250.365592956543
LR_EPF3,1232.6068000793457
LR5_ORR2,1204.443473815918
sire_dist_win_rate,1194.6853866577148
weight_vs_min,1160.8320007324219
LRNFP,1086.182601928711
EXP_ORR25,1049.812400817871
LR5_LB,1018.7240905761719
preracehorsecareerRuns,1007.171272277832
trainer_sr_30d,1006.2672958374023
LR5NFPtotal,1005.6120071411133
horseWIVrank,986.0231094360352
LR10_ORR2,972.9979934692383
residual_exp3,963.8758888244629
EXP_ORR210,956.3519897460938
LR_EPF2,950.0703964233398
pace_position_delta,940.1919860839844
dist_avg_nfp,934.8519897460938
sire_wiv,929.5019035339355
or_change,919.0769119262695
preracejockeycareerWIV,906.8919067382812
horseWinsrank,894.061897277832
preracehorsecareerORR2,886.3436126708984
EXP_ORR23,885.6909942626953
or_vs_last_win,868.0772094726562
jockey_front_rate,860.305591583252
preracehorsecareerRB,853.7450103759766
rDistApt,853.5757904052734
LR2_EPF2,825.4953002929688
rEPF_LR,820.1171951293945
EXP_NFP10,815.6268920898438
horsePlacesrank,812.155403137207
SFI_3,804.8657073974609
jockeypaceindex,770.3748092651367
trainerjockeycareerWIV,760.9483871459961
rDrawAdvComposite,756.658203125
going_experience,753.1969985961914
trainer_jockey_style_gap,743.9930038452148
sire_win_rate,735.6276931762695
surface_win_rate,735.1865158081055
rFrontSustain,712.340404510498
horse_style_consistency,711.8212013244629
horse_pos_drop,708.0519905090332
preracehorsecareerFSARB2,705.9556045532227
jockeyWIVrank,704.9124069213867
rPMW10,662.6775054931641
debut_x_trainer_wiv,662.3922080993652
LR3_EPF3,653.3456954956055
preracehorsecareerFSARB,648.3445930480957
horseWAXrank,636.4209976196289
rPaceAdvantage,630.6827926635742
LR3_EPF2,614.9760971069336
LR4_EPF3,597.4022026062012
LR_RACE_NFP,597.3660049438477
OFS10,597.2062149047852
jockeyCWOrank,594.2460021972656
rTJWIV,585.0420150756836
Horse_Career_EPF,581.3234024047852
DSLR3,577.1011123657227
horse_career_late_move,555.4176025390625
residual_exp5,545.7830047607422
form_var_5,541.4293022155762
LR3NFPtotal,530.472282409668
horse_career_total_move,510.4335021972656
preracehorsecareerCWO,510.0934028625488
horse_late_move_5r,498.9754066467285
holdup_finish_ability,498.23841094970703
rPredEarlyPos,487.4289855957031
LR2_early_pos,482.76600646972656
rHoldupFinish,477.81249237060547
first_at_cd,473.010986328125
horseRunsrank,468.9513931274414
PFD5,465.72180557250977
style_shift,464.21898651123047
preracetrainercareerWOA,459.54800033569336
rFormSlope3,452.9449996948242
rWeightVsAvg,446.92899322509766
rFCS,443.60201263427734
rUnexposure,443.5002975463867
EXP_NFP5,435.1789855957031
form_slope_5,425.37239837646484
rResidual,419.00060272216797
front_sustainability,414.44959259033203
FinalDSLR,413.5594940185547
preracehorsecareerNFP,395.42411041259766
horsepaceindex,388.9406051635742
surface_runs,386.44300079345703
rJockeyEPF,384.77269744873047
jockeyLRIrank,383.9736022949219
career_nfp_std,382.15919494628906
LR10COUNT,375.6940002441406
rEPF3_LR,373.25799560546875
career_residual,372.4474105834961
horse_early_pos_3r,356.23699951171875
jockey_sr_30d,346.02169036865234
LR_early_pos,332.93399810791016
rPFD5,328.8059997558594
LR_EPF,327.7800979614258
horse_keen_rate,307.134708404541
LR3_total_move,297.5584945678711
LR2_late_move,296.4810028076172
LR5_EPF2,296.2710990905762
pace_advantage,288.3581008911133
career_place_rate,279.739990234375
rORR2LR,277.6392059326172
rWPMRF5,277.2170104980469
rEPF2_LR,272.4490051269531
jockey_horse_style_gap,266.8260040283203
jockeyWAXrank,265.21289825439453
recent_nfp_std,264.377197265625
debut_x_sire_wiv,263.9605941772461
damsire_win_rate,257.55889892578125
horse_trouble_rate,257.081298828125
career_win_surprise,249.82539749145508
rNFPLR5,248.89999389648438
LR3_early_pos,247.42469787597656
rHorseLateMoveCareer,232.84500122070312
rWPMRF10,228.04790496826172
preracehorsecareerPlaces,227.9470977783203
draw_holdup_effect,224.7247085571289
rPMW3,220.8750991821289
unexposure_score,217.96599578857422
EXP_NFP3,205.42830657958984
recent_place_rate,192.31189727783203
cd_experience,186.2760009765625
form_var_3,177.5634002685547
trainerWIVrank,177.31700134277344
draw_pref_match,176.17100524902344
rDamsireNFP,167.4010009765625
form_slope_3,166.23909759521484
horse_early_pos_5r,165.9604034423828
rSireDistNFP,165.54299926757812
rPFD3,151.47000122070312
rNFPLR10,147.3129997253418
or_off_peak,143.38999938964844
horse_career_early_pos,135.52099609375
OFS5,134.40899658203125
horseFSARBrank,127.15699768066406
LR3_late_move,123.65599822998047
LR2_total_move,122.15899658203125
LR5_EPF,117.427001953125
EXP_RB5,115.35199737548828
OFS1,109.64600372314453
horse_late_move_3r,109.30999755859375
headgear_cat,103.87000274658203
LR3_EPF,99.5105972290039
rTrainerSR14d,99.293701171875
preracehorsecareerWAX,95.08650207519531
LR4_EPF,94.93949890136719
LR_late_move,92.75920104980469
LR_total_move,92.62529754638672
track_style_fit,92.47090148925781
rTJNFP,88.49089813232422
horse_track_nfp,86.42890167236328
rFSS,83.12740325927734
rTrackStyleFit,81.8510971069336
rNFPLR3,80.9177017211914
rNFP,78.05269622802734
preracehorsecareerWOA,72.04100036621094
trainerWOArank,71.1458969116211
jockeys_claim_num,69.9845962524414
preracehorsecareerWIV,63.07059860229492
prom_runner,0.0
LR2_EPF,0.0
is_widest_stall,0.0
is_stall_1,0.0
first_at_course,0.0
course_experience,0.0
first_at_going,0.0
trainerCWOrank,0.0
trainerWAXrank,0.0
rOFS3,0.0
rOFS10,0.0
rOFS5,0.0
DSLR23diff,0.0
DSLR12diff,0.0
pred_early_pos,0.0
DSLR34diff,0.0
lead_competition,0.0
lone_front_runner,0.0
keen_rate_3r,0.0
keen_front_risk,0.0
rRWOLR10,0.0
rRWOLR5,0.0
rRWOLR3,0.0
is_declining,0.0
is_class_rise,0.0
is_improving,0.0
EXP_RB3,0.0
is_class_drop,0.0
is_debut,0.0
dist_experience,0.0
rHorseCareerEPF,0.0
first_at_distance,0.0
rTrainerEPF,0.0
LR3COUNT,0.0
LR5COUNT,0.0
LR3wsum,0.0
first_time_headgear,0.0
headgear_change,0.0
horseCWOrank,0.0
horseWOArank,0.0
horseFSARB2rank,0.0
horseNFPrank,0.0
LR5wsum,0.0
horseRBrank,0.0
LR10wsum,0.0
career_win_rate,0.0
rWPMRF3,0.0
rPFD10,0.0
recent_win_rate,0.0
horse_track_runs,0.0
has_headgear,0.0
first_on_surface,0.0
LRPTotalScore,0.0
rORChange,0.0
rSireWIV,0.0
rSireGoingNFP,0.0
rEXP_RB5,0.0
rSireNFP,0.0
jockeyWOArank,0.0
rEXP_NFP5,0.0
headgear_removed,0.0
horse_track_win_rate,0.0
trainerjockeyWOA,0.0
preracejockeycareerWOA,0.0
LR_was_keen,0.0
LR_had_trouble,0.0
preracehorsecareerWins,0.0
rHorseCareerEarlyPos,0.0
